,"Project Name",Address,City,State,"Part 3 Approval","Total Project Costs","2010 Census Tract",Region,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code","Congressional District"
0,"Mcdowell & Company","339-341 N. Charles Street",Baltimore,MD,2009-02-18,3045219.0,,Baltimore,39.293815,-76.615111,1,rooftop,339,"N Charles St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,1063,1,245100401001063,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
1,"Fleet Street Property","1721 Fleet Street",Baltimore,MD,2009-03-11,200000.0,,Baltimore,39.284439,-76.592307,1,rooftop,1721,"Fleet St",Baltimore,MD,"Baltimore city",21231,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,020300,1010,1,245100203001010,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
2,"Gunther Brewing Company","1301 S. Conkling St.","Baltimore City",MD,2009-03-30,19199747.0,,Baltimore,39.278636,-76.566651,1,range_interpolation,1301,"S Conkling St",Baltimore,MD,"Baltimore city",21224,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,260900,3011,3,245102609003011,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
3,"Baltimore Gas & Electric Co. Building","39 West Lexington Street",Baltimore,MD,2009-04-01,36200000.0,,Baltimore,39.29127,-76.617042,1,rooftop,39,"W Lexington St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,2036,2,245100401002036,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
4,"53 S. Carrollton Avenue","53 S. Carrollton Avenue",Baltimore,MD,2009-04-09,114021.0,,Baltimore,39.286934,-76.63636,1,rooftop,53,"S Carrollton Ave",Baltimore,MD,"Baltimore city",21223,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,180300,2018,2,245101803002018,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
5,"3327 Noble Street","3327 Noble Street",Baltimore,MD,2009-04-10,185400.0,,Baltimore,39.292885,-76.56993,1,rooftop,3327,"Noble St",Baltimore,MD,"Baltimore city",21224,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,261000,3000,3,245102610003000,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
6,"3300 Noble Street","3300 Noble Street",Baltimore,MD,2009-04-10,185400.0,,Baltimore,39.29315,-76.570522,1,rooftop,3300,"Noble St",Baltimore,MD,"Baltimore city",21224,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,261000,2012,2,245102610002012,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
7,"Ruscombe Green","4901 Springarden Drive",Baltimore,MD,2009-04-24,1401251.0,,Baltimore,39.349672,-76.657073,1,rooftop,4901,"Springarden Dr",Baltimore,MD,"Baltimore city",21209,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,130805,1008,1,245101308051008,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
8,"204 East Chase Street","204 East Chase Street",Baltimore,MD,2009-04-27,234480.0,,Baltimore,39.302732,-76.61237,1,rooftop,204,"E Chase St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110100,1015,1,245101101001015,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
9,"3304 Noble Street","3304 Noble Street",Baltimore,MD,2009-04-28,185400.0,,Baltimore,39.293153,-76.570436,1,rooftop,3304,"Noble St",Baltimore,MD,"Baltimore city",21224,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,261000,2012,2,245102610002012,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
10,"The George Wells House","1532-1534 Thames Street",Baltimore,MD,2009-05-13,1642666.0,,Baltimore,39.280883,-76.595274,1,rooftop,1532,"Thames St",Baltimore,MD,"Baltimore city",21231,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,020300,2021,2,245100203002021,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
11,"Gampy's Building","904 North Charles Street",Baltimore,MD,2009-05-26,1208878.0,,Baltimore,39.299839,-76.616195,1,rooftop,904,"N Charles St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110200,1045,1,245101102001045,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
12,"Northern District Police Station","3355 Keswick Road",Baltimore,MD,2009-06-12,7942035.0,,Baltimore,39.328446,-76.627218,1,rooftop,3355,"Keswick Rd",Baltimore,MD,"Baltimore city",21211,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,130600,2010,2,245101306002010,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
13,"801 Washington Boulevard","801 Washington Boulevard",Baltimore,MD,2009-06-17,383360.0,,Baltimore,39.282742,-76.628961,1,rooftop,801,"Washington Blvd",Baltimore,MD,"Baltimore city",21230,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,210100,2017,2,245102101002017,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
14,"Abell Building","329-335 West Baltimore Street",Baltimore,MD,2009-06-19,5700000.0,,Baltimore,39.288993,-76.620665,1,rooftop,329,"W Baltimore St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,1068,1,245100401001068,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
15,"24 South Carrollton","24 South Carrollton",Baltimore,MD,2009-06-29,128517.0,,Baltimore,39.287974,-76.63694,1,rooftop,24,"S Carrollton Ave",Baltimore,MD,"Baltimore city",21223,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,180300,1012,1,245101803001012,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
16,"407 N. Charles Street","407 N. Charles Street",Baltimore,MD,2009-08-11,777938.0,,Baltimore,39.294449,-76.615143,1,rooftop,407,"N Charles St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,1012,1,245100401001012,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
17,"Professional Arts Building (Aka The Medical Arts Bldg)","101 West Read Street",Baltimore,MD,2009-08-11,18875043.0,,Baltimore,39.299383,-76.617579,1,rooftop,101,"W Read St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110200,3014,3,245101102003014,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
18,"Title Guarantee And Trust Company Building","102-110 St. Paul Street",Baltimore,MD,2009-08-28,11000000.0,,Baltimore,39.296536,-76.623489,0.33,place,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,170100,2007,2,245101701002007,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
19,"1209 Hollins Street","1209 Hollins Street",Baltimore,MD,2009-09-02,162544.0,,Baltimore,39.287366,-76.637145,1,rooftop,1209,"Hollins St",Baltimore,MD,"Baltimore city",21223,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,180300,2013,2,245101803002013,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
20,"638 Melvin Drive","638 Melvin Drive",Baltimore,MD,2009-09-10,113137.0,,Baltimore,39.284824,-76.624906,1,rooftop,638,"Melvin Dr",Baltimore,MD,"Baltimore city",21230,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,220100,1010,1,245102201001010,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
21,"1310 W. Lexington Street","1310 W. Lexington Street",Baltimore,MD,2009-11-17,296150.0,,Baltimore,39.291081,-76.638826,1,rooftop,1310,"W Lexington St",Baltimore,MD,"Baltimore city",21223,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,190100,2001,2,245101901002001,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
22,"222 West Monument Street","222 West Monument Street",Baltimore,MD,2009-11-24,872905.0,,Baltimore,39.297614,-76.619613,1,rooftop,222,"W Monument St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110200,3010,3,245101102003010,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
23,"Cannery Square At Charles Village (Miller's Court)","2601 North Howard Street",Baltimore,MD,2009-12-07,15569292.0,,Baltimore,39.319729,-76.619438,1,rooftop,2601,"N Howard St",Baltimore,MD,"Baltimore city",21218,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120600,2005,2,245101206002005,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
24,"The Keyser Building","207 E. Redwood Street",Baltimore,MD,2010-01-05,19500000.0,,Baltimore,39.289098,-76.611797,0.9,range_interpolation,207,"E Redwood St",Baltimore,MD,"Baltimore city",21202,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,040100,1053,1,245100401001053,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
25,"823 Park Avenue","823 Park Avenue",Baltimore,MD,2010-02-19,722441.0,,Baltimore,39.299323,-76.618125,1,rooftop,823,"Park Ave",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110200,3007,3,245101102003007,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
26,"The B&O Central Building","2 N. Charles Street",Baltimore,MD,2010-04-12,45000000.0,,Baltimore,39.289807,-76.615602,1,rooftop,2,"N Charles St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,2049,2,245100401002049,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
27,"The Old Town National Bank Building","221-233 North Gay Street",Baltimore,MD,2010-09-08,9250000.0,,Baltimore,39.292867,-76.608098,1,rooftop,221,"N Gay St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,280500,2036,2,245102805002036,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
28,"203 East North Avenue","203 East North Avenue",Baltimore,MD,2010-09-20,275000.0,,Baltimore,39.310888,-76.613573,1,rooftop,203,"E North Ave",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,1000,1,245101205001000,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
29,"1301 Washington Blvd.","1301 Washington Blvd.",Baltimore,MD,2010-09-22,198023.0,,Baltimore,39.280442,-76.635319,1,rooftop,1301,"Washington Blvd",Baltimore,MD,"Baltimore city",21230,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,210200,1014,1,245102102001014,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
30,"108 W. Lexington Street","108 W. Lexington Street",Baltimore,MD,2010-10-26,1147000.0,,Baltimore,39.291841,-76.617549,1,rooftop,108,"W Lexington St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,2035,2,245100401002035,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
31,"Junker Hotel","20-22 East Fayette Street",Baltimore,MD,2010-12-14,11163471.0,,Baltimore,39.290597,-76.614468,1,rooftop,20,"E Fayette St",Baltimore,MD,"Baltimore city",21231,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,1059,1,245100401001059,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
32,"Hamilton House","509 Cathedral Street",Baltimore,MD,2011-01-20,615967.0,,Baltimore,39.295929,-76.616561,1,rooftop,509,"Cathedral St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110200,2020,2,245101102002020,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
33,"The Federal Land Bank Building","2315-2317 St. Paul Street",Baltimore,MD,2011-03-02,46709860.0,,Baltimore,39.296536,-76.623489,0.33,place,,,Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,170100,2007,2,245101701002007,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
34,"1007 E. Pratt Street","1007 E. Pratt Street",Baltimore,MD,2011-03-09,1234814.0,,Baltimore,39.287903,-76.601036,1,rooftop,1007,"E Pratt St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,030200,1032,1,245100302001032,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
35,"439 E. Lanvale Street","439 E. Lanvale Street",Baltimore,MD,2011-03-24,253817.0,,Baltimore,39.308828,-76.609583,1,rooftop,439,"E Lanvale St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2007,2,245101205002007,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
36,"422 East Lanvale Street","422 East Lanvale Street",Baltimore,MD,2011-03-24,261765.0,,Baltimore,39.309177,-76.609773,1,rooftop,422,"E Lanvale St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2006,2,245101205002006,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
37,"426 East Federal Street","426 East Federal Street",Baltimore,MD,2011-04-18,206925.0,,Baltimore,39.308111,-76.609903,1,rooftop,426,"E Federal St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2018,2,245101205002018,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
38,"807 Washington Boulevard","807 Washington Boulevard",Baltimore,MD,2011-05-31,494097.0,,Baltimore,39.28285,-76.629272,1,range_interpolation,807,"Washington Blvd",Baltimore,MD,"Baltimore city",21230,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,210100,2017,2,245102101002017,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
39,"803-805 Washington Boulevard","803-805 Washington Boulevard",Baltimore,MD,2011-05-31,494097.0,,Baltimore,39.282859,-76.629127,1,range_interpolation,805,"Washington Blvd",Baltimore,MD,"Baltimore city",21230,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,210100,2017,2,245102101002017,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
40,"3415 Falls Road","3415 Falls Road",Baltimore,MD,2011-06-08,266342.0,,Baltimore,39.328874,-76.633929,1,rooftop,3415,"Falls Rd",Baltimore,MD,"Baltimore city",21211,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,130600,4004,4,245101306004004,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
41,"1044 N. Broadway","1044 N. Broadway",Baltimore,MD,2011-07-18,149730.0,,Baltimore,39.302938,-76.59495,1,rooftop,1044,"N Broadway",Baltimore,MD,"Baltimore city",21213,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,080800,2019,2,245100808002019,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
42,"1710 Barclay Street","1710 Barclay Street",Baltimore,MD,2011-07-18,388860.0,,Baltimore,39.309453,-76.611085,1,rooftop,1710,"Barclay St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2010,2,245101205002010,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
43,"1703 Barclay Street","1703 Barclay Street",Baltimore,MD,2011-07-20,388860.0,,Baltimore,39.309149,-76.610523,1,rooftop,1703,"Barclay St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2005,2,245101205002005,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
44,"637 Washington Blvd.","637 Washington Blvd.",Baltimore,MD,2011-08-22,425926.0,,Baltimore,39.284087,-76.624386,1,rooftop,637,"Washington Blvd",Baltimore,MD,"Baltimore city",21230,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,220100,1021,1,245102201001021,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
45,"1804 E. Lafayette Street","1804 E. Lafayette Street",Baltimore,MD,2011-09-14,194395.0,,Baltimore,39.310926,-76.592733,1,rooftop,1804,"E Lafayette Ave",Baltimore,MD,"Baltimore city",21213,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,080600,3002,3,245100806003002,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
46,"715 S. Ann Street","715 S. Ann Street",Baltimore,MD,2011-09-26,326110.0,,Baltimore,39.283228,-76.590944,1,rooftop,715,"S Ann St",Baltimore,MD,"Baltimore city",21231,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,020300,3002,3,245100203003002,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
47,"205 East North Avenue","205 East North Avenue",Baltimore,MD,2011-11-14,270000.0,,Baltimore,39.310889,-76.613517,1,rooftop,205,"E North Ave",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,1000,1,245101205001000,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
48,"1625 E. Preston Street","1625 E. Preston Street",Baltimore,MD,2011-11-22,188720.0,,Baltimore,39.305101,-76.595654,1,rooftop,1625,"E Preston St",Baltimore,MD,"Baltimore city",21213,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,080800,2005,2,245100808002005,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
49,"1838 Rutland Avenue","1838 Rutland Avenue",Baltimore,MD,2011-11-22,189913.0,,Baltimore,39.311749,-76.593367,1,rooftop,1838,"Rutland Ave",Baltimore,MD,"Baltimore city",21213,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,080600,4000,4,245100806004000,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
50,"Gamby House","1400-1402 Madison Avenue",Baltimore,MD,2011-12-19,130433.0,,Baltimore,39.303858,-76.628383,1,rooftop,1400,"Madison Ave",Baltimore,MD,"Baltimore city",21217,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,140200,1013,1,245101402001013,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
51,"The Calvert School","10 W. Chase Street",Baltimore,MD,2012-02-14,1004567.0,,Baltimore,39.302603,-76.61678,1,rooftop,10,"W Chase St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110200,1033,1,245101102001033,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
52,"319 West Mulberry Street","319 West Mulberry Street",Baltimore,MD,2012-03-26,233495.0,,Baltimore,39.293768,-76.620883,1,rooftop,319,"W Mulberry St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,040100,2012,2,245100401002012,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
53,"Druid Mill","1500 Union Avenue",Baltimore,MD,2012-03-28,14600000.0,,Baltimore,39.332651,-76.640865,1,rooftop,1500,"Union Ave",Baltimore,MD,"Baltimore city",21211,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,130804,1005,1,245101308041005,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD3
54,"2428 Jefferson Street","2428 Jefferson Street",Baltimore,MD,2012-04-17,197623.0,,Baltimore,39.296883,-76.582774,1,rooftop,2428,"Jefferson St",Baltimore,MD,"Baltimore city",21205,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,070200,4005,4,245100702004005,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
55,"1226 North Charles Street","1226 North Charles Street",Baltimore,MD,2012-05-14,1439317.0,,Baltimore,39.304336,-76.616423,1,rooftop,1226,"N Charles St",Baltimore,MD,"Baltimore city",21201,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,110200,1029,1,245101102001029,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
56,"115 East Lafayette Street","115 East Lafayette Street",Baltimore,MD,2012-06-19,325000.0,,Baltimore,39.309687,-76.614327,1,rooftop,115,"E Lafayette Ave",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,1016,1,245101205001016,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
57,"414 E. Lanvale Street","414 E. Lanvale Street",Baltimore,MD,2012-06-19,325000.0,,Baltimore,39.30917,-76.60996,1,rooftop,414,"E Lanvale St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2006,2,245101205002006,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
58,"415 E. Lafayette Street","415 E. Lafayette Street",Baltimore,MD,2012-08-22,325000.0,,Baltimore,39.309799,-76.610282,1,rooftop,415,"E Lafayette Ave",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2005,2,245101205002005,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
59,"406 East Lanvale Street","406 East Lanvale Street",Baltimore,MD,2012-09-13,325000.0,,Baltimore,39.309184,-76.610226,1,rooftop,406,"E Lanvale St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2005,2,245101205002005,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
60,"The Anneslie Apartments","1203-1205 North Charles Street",Baltimore,MD,2012-09-24,1750000.0,,Baltimore,39.303549,-76.615922,1,range_interpolation,1203,"N Charles St",Baltimore,MD,"Baltimore city",21201,US,"TIGER/Line® dataset from the US Census Bureau",2019,24,24510,Baltimore,2404000,110200,1028,1,245101102001028,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
61,"1812 Guilford Avenue","1812 Guilford Avenue",Baltimore,MD,2012-11-01,412500.0,,Baltimore,39.310634,-76.612665,1,rooftop,1812,"Guilford Ave",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,1013,1,245101205001013,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
62,"1806 Guilford Avenue","1806 Guilford Avenue",Baltimore,MD,2012-11-01,363000.0,,Baltimore,39.310507,-76.612655,1,rooftop,1806,"Guilford Ave",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,1013,1,245101205001013,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
63,"332 E Federal Street","332 E Federal Street",Baltimore,MD,2012-11-15,125009.0,,Baltimore,39.308077,-76.611261,1,rooftop,332,"E Federal St",Baltimore,MD,"Baltimore city",21202,US,"City of Baltimore",2019,24,24510,Baltimore,2404000,120500,2009,2,245101205002009,"Baltimore-Columbia-Towson, MD",12580,metropolitan,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",548,,,MD7
