,Project Name,Address,City,State,Part 3 Approval,Total Project Costs,2010 Census Tract,Region
61,1812 Guilford Avenue,1812 Guilford Avenue,Baltimore,MD,2012-11-01,412500.0,,Baltimore
62,1806 Guilford Avenue,1806 Guilford Avenue,Baltimore,MD,2012-11-01,363000.0,,Baltimore
63,332 E Federal Street,332 E Federal Street,Baltimore,MD,2012-11-15,125009.0,,Baltimore
64,338 E Federal Street,338 E Federal Street,Baltimore,MD,2012-11-15,125009.0,,Baltimore
65,1029 St. Paul Street,1029 St. Paul Street,Baltimore,MD,2013-02-01,478803.0,,Baltimore
66,1302 St. Paul Street,1302 St. Paul Street,Baltimore,MD,2013-03-18,1600000.0,,Baltimore
67,1216 W. Lombard Street,1216 W. Lombard Street,Baltimore,MD,2013-04-01,139626.0,,Baltimore
68,1304 St. Paul Street,1304 St. Paul Street,Baltimore,MD,2013-04-03,1600000.0,,Baltimore
69,Town Theatre,315 W. Fayette Street,Baltimore,MD,2013-04-10,15297270.0,,Baltimore
70,1232 North Broadway,1232 North Broadway,Baltimore,MD,2013-04-13,238749.0,,Baltimore
71,1234 North Broadway,1234 North Broadway,Baltimore,MD,2013-04-15,236612.0,,Baltimore
72,1230 North Broadway,1230 North Broadway,Baltimore,MD,2013-04-15,239119.0,,Baltimore
73,1236 North Broadway,1236 North Broadway,Baltimore,MD,2013-04-15,239151.0,,Baltimore
74,1510 E. Biddle Street,1510 E. Biddle Street,Baltimore,MD,2013-05-03,239307.0,,Baltimore
75,1226 N. Broadway,1226 N. Broadway,Baltimore,MD,2013-05-03,250583.0,,Baltimore
76,1242 N Broadway,1242 N Broadway,Baltimore,MD,2013-05-03,245022.0,,Baltimore
77,1254 N. Broadway,1254 N. Broadway,Baltimore,MD,2013-05-03,265065.0,,Baltimore
78,1246 N. Broadway,1246 N. Broadway,Baltimore,MD,2013-05-03,237573.0,,Baltimore
79,2127 Jefferson Street,2127 Jefferson Street,Baltimore,MD,2013-05-03,118936.0,,Baltimore
80,Public School No. 37,"1125 Patterson Park Avenue, North",Baltimore,MD,2013-06-13,5182014.0,,Baltimore
81,1709 Saint Paul Street,1709 Saint Paul Street,Baltimore,MD,2013-07-08,328892.0,,Baltimore
82,1027 St. Paul Street,1027 St. Paul Street,Baltimore,MD,2013-07-23,447815.0,,Baltimore
83,1025 St. Paul Street,1025 St. Paul Street,Baltimore,MD,2013-07-23,447815.0,,Baltimore
84,207 N. Castle Street,207 N. Castle Street,Baltimore,MD,2013-08-05,133814.0,,Baltimore
85,1225 North Broadway,1225 North Broadway,Baltimore,MD,2013-08-19,207809.0,,Baltimore
86,1605 E. Biddle Street,1605 E. Biddle Street,Baltimore,MD,2013-08-19,249041.0,,Baltimore
87,1610 E. Biddle Street,1610 E. Biddle Street,Baltimore,MD,2013-08-19,233285.0,,Baltimore
88,758 Reservoir Street,758 Reservoir Street,Baltimore,MD,2013-09-26,98244.0,,Baltimore
89,Chesapeake,1701 North Charles Street,Baltimore,MD,2013-09-26,2492464.0,,Baltimore
90,Montgomery Ward Warehouse & Retail,1000 S. Monroe Street,Baltimore,MD,2013-11-07,103878385.0,,Baltimore
91,Odd Fellows Hall,300 Cathedral Street,Baltimore,MD,2013-12-13,6667305.0,,Baltimore
92,329 North Eutaw Street,329 North Eutaw Street,Baltimore,MD,2013-12-13,842593.0,,Baltimore
93,Madison-Clendenin House,2220 Madison Ave.,Baltimore,MD,2014-03-11,60921.0,,Baltimore
94,The SEnator Theatre,5904 York Road,Baltimore,MD,2014-03-31,1760000.0,,Baltimore
95,756 Reservoir Street,756 Reservoir Street,Baltimore,MD,2014-03-31,131082.0,,Baltimore
96,Mount Vernon Mill No. 1,3000 Falls Road,Baltimore,MD,2014-04-03,38500000.0,,Baltimore
97,Oak Street Garage,2600 N. Howard Street,Baltimore,MD,2014-04-04,2313109.0,,Baltimore
98,219 E. North Avenue,219 E. North Avenue,Baltimore,MD,2014-04-04,294000.0,,Baltimore
99,Eastern Shore House Building,1621 Bank Street,Baltimore,MD,2014-04-07,3400000.0,,Baltimore
100,Highlandtown Middle School,101 South Ellwood Street,Baltimore,MD,2014-04-28,32000000.0,,Baltimore
101,Gunther Main Brewery (B-998),1311 S. Conkling Street,Baltimore,MD,2014-05-05,42000000.0,,Baltimore
102,Purnell Art Company,407 North Charles Street,Baltimore,MD,2014-05-12,1250000.0,,Baltimore
103,"Federal Reserve Bank Of Richmond, Baltimore Branch",114 East Lexington Street,Baltimore,MD,2014-06-02,15891050.0,,Baltimore
104,421 East Lafayette Avenue,421 East Lafayette Avenue,Baltimore,MD,2014-08-11,199167.0,,Baltimore
105,405 East Lafayette Avenue,405 East Lafayette Avenue,Baltimore,MD,2014-08-25,194318.0,,Baltimore
106,1629 Hakesley Place,1629 Hakesley Place,Baltimore,MD,2014-08-25,290602.0,,Baltimore
107,1525 East Biddle Street,1525 East Biddle Street,Baltimore City,MD,2014-08-25,2221757.0,,Baltimore
108,1216 North Bond Street,1216 North Bond Street,Baltimore City,MD,2014-08-25,167759.0,,Baltimore
109,Baltimore Life Insurance Company Building,301-307 N. Charles Street,Baltimore,MD,2014-09-29,14000000.0,,Baltimore
110,1639 Hakesley Place,1639 Hakesley Place,Baltimore,MD,2014-09-29,255463.0,,Baltimore
111,1239 North Broadway Street,1239 North Broadway Street,Baltimore,MD,2014-10-10,238109.0,,Baltimore
112,Public School No. 99 (The Columbus School),2000 East North Avenue,Baltimore,MD,2014-11-24,13700000.0,,Baltimore
113,The S.S. Kresge Building,117 West Lexington Street,Baltimore,MD,2014-12-03,937440.0,,Baltimore
114,Southworth House And Carriage House,3334 Prospect Avenue,Cleveland,OH,2009-03-18,2561589.0,,Cleveland
115,Wade Chateau Apartments,9501 Wade Park Avenue,Cleveland,OH,2009-05-01,7138748.0,,Cleveland
116,Mccrory Building,422-424 Euclid Avenue,Cleveland,OH,2009-09-28,2439630.0,,Cleveland
117,Petrie Plus Building,416 Euclid Avenue,Cleveland,OH,2009-09-28,975852.0,,Cleveland
118,Kresge Building,406 Euclid Ave. & E. 4th Street,Cleveland,OH,2009-09-28,1789062.0,,Cleveland
119,Prospect Building (Prospect Place Apts.),1040-1104 Prospect Avenue,Cleveland,OH,2009-11-27,6400000.0,,Cleveland
120,Sunshine Cloak Company Building,2310 Superior,Cleveland,OH,2010-01-19,3988386.0,,Cleveland
