,Project Name,Address,City,State,Part 3 Approval,Total Project Costs,2010 Census Tract,Region
257,1505-07 East Carson Street,1505-07 East Carson Street,Pittsburgh,PA,2010-04-02,3412544.0,,Pittsburgh
258,Regal Shoe Building,160 5th Avenue,Pittsburgh,PA,2010-04-07,750000.0,,Pittsburgh
259,491 Market Street,491 Market Street,Pittsburgh,PA,2010-04-07,1450000.0,,Pittsburgh
260,489 Market Street,489 Market Street,Pittsburgh,PA,2010-04-07,1450000.0,,Pittsburgh
261,1728 Brighton Place,1728 Brighton Place,Pittsburgh,PA,2010-12-15,68156.0,,Pittsburgh
262,Willis Mccook House,5105 Fifth Avenue,Pittsburgh,PA,2011-07-26,4041796.0,,Pittsburgh
263,Buhl Building,200 Fifth Street,Pittsburgh,PA,2011-10-04,2905226.0,,Pittsburgh
264,5801 Bryant Street,5801 Bryant Street,Pittsburgh,PA,2012-03-27,2013809.0,,Pittsburgh
265,The Bell Telephone Company Of Pa Western Headquarters Building,201 Stanwix Street,Pittsburgh,PA,2012-04-20,30000000.0,,Pittsburgh
266,Park Place School (Environmental Charter School),309 South Braddock Avenue,Pittsburgh,PA,2012-09-05,2272390.0,,Pittsburgh
267,Candyrama Former Adam Hats,212 - 5th Avenue,Pittsburgh,PA,2012-10-12,1097222.0,,Pittsburgh
268,"Former D&K Store, Former Exchange National Bank",240 Fifth Avenue,Pittsburgh,PA,2012-10-12,4990312.0,,Pittsburgh
269,Headgear,214-216 Fifth Avenue,Pittsburgh,PA,2012-10-12,1346585.0,,Pittsburgh
270,Former G.C. Murphy Store #12,"220-232 Fifth Avenue, 211-227 Forbes Avenue",Pittsburgh,PA,2012-10-12,28547665.0,,Pittsburgh
271,Former Fifth Avenue High School,1800 Fifth Avenue,Pittsburgh,PA,2013-02-20,10000000.0,,Pittsburgh
272,908-910 Penn Avenue,908-910 Penn Avenue,Pittsburgh,PA,2013-10-28,5500000.0,,Pittsburgh
273,Select Furniture Company Building,526-536 Penn Avenue,Pittsburgh,PA,2013-12-03,14000000.0,,Pittsburgh
274,Highland Building,121 S. Highland Avenue,Pittsburgh,PA,2013-12-03,13500000.0,,Pittsburgh
275,Former Pittsburgh Mercantile Company,2600 East Carson Street,Pittsburgh,PA,2014-01-03,26913155.0,,Pittsburgh
276,Wallace Building,S. Highland Avenue And Penn Circle South,Pittsburgh,PA,2014-01-08,4100000.0,,Pittsburgh
277,Bellefield Dwellings,4400 Centre Avenue,Pittsburgh,PA,2014-01-13,8051234.0,,Pittsburgh
278,500 Smithfield Street,500 Smithfield Street,Pittsburgh,PA,2014-02-27,30000000.0,,Pittsburgh
279,Clark Building,701-717 Liberty Avenue,Pittsburgh,PA,2014-09-16,30000000.0,,Pittsburgh
280,1905 Utah Street,1905 Utah Street,St. Louis,MO,2009-01-05,1075178.0,,St. Louis
281,1901 Utah Street,1901 Utah Street,St. Louis,MO,2009-01-05,1075178.0,,St. Louis
282,3604 North 25th Street,3604 North 25th Street,St. Louis,MO,2009-01-05,253824.0,,St. Louis
283,2301 Salisbury Avenue,2301 Salisbury Avenue,St. Louis,MO,2009-01-05,548502.0,,St. Louis
284,3802 North 25th Street,3802 North 25th Street,St. Louis,MO,2009-01-05,302746.0,,St. Louis
285,2318-20 Salisbury Avenue,2318-20 Salisbury Avenue,St. Louis,MO,2009-01-05,472991.0,,St. Louis
286,3717 North 25th Street,3717 North 25th Street,St. Louis,MO,2009-01-05,335629.0,,St. Louis
287,6627 Michigan,6627 Michigan,St. Louis,MO,2009-01-06,226000.0,,St. Louis
288,3318 Salena,3318 Salena,St. Louis,MO,2009-01-15,249086.0,,St. Louis
289,Everett Square,354-358 N. Boyle,St. Louis,MO,2009-01-21,1200000.0,,St. Louis
290,4525 Oakland Avenue,4525 Oakland Avenue,St. Louis,MO,2009-01-29,100000.0,,St. Louis
291,1009 Geyer,1009 Geyer,St. Louis,MO,2009-01-30,0.0,,St. Louis
292,1007 Geyer,1007 Geyer,St. Louis,MO,2009-01-30,102265.0,,St. Louis
293,Preservation Hall,1921 S. Ninth St,St. Louis,MO,2009-02-05,2037374.0,,St. Louis
294,Two-Family Building,2249 Shenandoah Street,St. Louis,MO,2009-02-09,145278.0,,St. Louis
295,1224 Washington Avenue,1224 Washington Avenue,St. Louis,MO,2009-02-12,7193395.0,,St. Louis
296,2920 Wyoming Street,2920 Wyoming Street,St. Louis,MO,2009-02-19,103452.0,,St. Louis
297,4301 Mcree Avenue,4301 Mcree Avenue,St. Louis,MO,2009-02-26,456870.0,,St. Louis
298,"Greater Fourteenth Street Mall Apartments ""B""",1308 Montgomery Street,St. Louis,MO,2009-02-27,160287.0,,St. Louis
299,Greater Fourteenth Street Mall Apartments,1316 Warren Street,St. Louis,MO,2009-02-27,160287.0,,St. Louis
300,Greater Fourteenth Street Mall Apartments,1414 Warren Street,St. Louis,MO,2009-02-27,314270.0,,St. Louis
301,Greater Fourteenth Street Mall Apartments,1310 Warren Street,St. Louis,MO,2009-02-27,300800.0,,St. Louis
302,Greater Fourteenth Street Mall Apartments,1314-16 Warren Street,St. Louis,MO,2009-02-27,160287.0,,St. Louis
303,Greater Fourteenth Street Mall Apartments,2817 North 14th Street,St. Louis,MO,2009-02-27,388650.0,,St. Louis
304,Greater Fourteenth Street Mall Apartments,1308 Montgomery Street,St. Louis,MO,2009-02-27,160287.0,,St. Louis
305,Greater Fourteenth Street Mall Apartments,2423 Blair Street,St. Louis,MO,2009-02-27,379550.0,,St. Louis
306,Greater Fourteenth Street Mall Apartments,1418-20 St. Louis Avenue,St. Louis,MO,2009-02-27,309800.0,,St. Louis
307,Greater Fourteenth Street Mall Apartments,1420 Warren Street,St. Louis,MO,2009-03-03,339820.0,,St. Louis
308,Greater Fourteenth Street Mall Apartments,2822 North 14th Street,St. Louis,MO,2009-03-19,199325.0,,St. Louis
309,Greater Fourteenth Street Mall Apartments,2826 North 14th Street,St. Louis,MO,2009-03-19,392900.0,,St. Louis
310,Greater Fourteenth Street Mall Apartments,2605 Rear North 14th Street,St. Louis,MO,2009-03-19,568800.0,,St. Louis
311,Greater Fourteenth Street Mall Apartments,2820-22 North 14th Street,St. Louis,MO,2009-03-19,199325.0,,St. Louis
312,Greater Fourteenth Street Mall Apartments,2828-30 North 14th Street,St. Louis,MO,2009-03-19,518900.0,,St. Louis
313,Greater Fourteenth Street Mall Apartments,2718-20 Blair,St. Louis,MO,2009-03-19,554600.0,,St. Louis
314,Greater Fourteenth Street Mall,2824-26 North 14th Street,St. Louis,MO,2009-03-19,392900.0,,St. Louis
315,Greater Fourteenth Street Mall Apartments,2712-14 North 14th Street,St. Louis,MO,2009-04-06,8987000.0,,St. Louis
316,Greater Fourteenth Street Mall,2711 North 14th Street,St. Louis,MO,2009-04-06,6497000.0,,St. Louis
317,Commercial Building,2831 Cherokee Street,St. Louis,MO,2009-04-09,499999.0,,St. Louis
318,Cupples Station Building #1,1000 Clark Avenue,St. Louis,MO,2009-04-10,17363000.0,,St. Louis
319,Sidney Street & I-55,1814 Sidney Street,St. Louis,MO,2009-04-17,569429.0,,St. Louis
320,3019 Chippewa House,3019 Chippewa House,St. Louis,MO,2009-04-23,137143.0,,St. Louis
321,3504 Illinois Ave.,3504 Illinois Ave.,St. Louis,MO,2009-04-23,111975.0,,St. Louis
322,1224-1226 Ann,1224-1226 Ann,St. Louis,MO,2009-04-23,421000.0,,St. Louis
323,St. Louis Post - Dispatch Building,1139 Olive Street,St. Louis,MO,2009-04-24,11432506.0,,St. Louis
324,Ivory Corner,7700 Ivory,St. Louis,MO,2009-04-27,509529.0,,St. Louis
325,Diamond Rubber Company,3001-3003 Locust,St. Louis,MO,2009-05-14,3883000.0,,St. Louis
326,3910-B Detonty Street,3910-B Detonty Street,St. Louis,MO,2009-05-15,195253.0,,St. Louis
327,3910-A Detonty Street,3910-A Detonty Street,St. Louis,MO,2009-05-15,195253.0,,St. Louis
328,5874 Delmar Boulevard,5874 Delmar Boulevard,St. Louis,MO,2009-05-15,334489.0,,St. Louis
329,3816 North 25th Street,3816 North 25th Street,St. Louis,MO,2009-05-15,306284.0,,St. Louis
330,Wichita Apartment Building,4500 Wichita,St. Louis,MO,2009-05-19,181000.0,,St. Louis
331,Commercial Building,908 Lafayette,St. Louis,MO,2009-05-26,940000.0,,St. Louis
332,4066 Detonty Street,4066 Detonty Street,St. Louis,MO,2009-05-26,389239.0,,St. Louis
333,1818 Lawrence Street,1818 Lawrence Street,St. Louis,MO,2009-06-01,340723.0,,St. Louis
334,Edwin F. Guth Company Complex (G.E.W. Building),2615 Washington Boulevard,St. Louis,MO,2009-06-01,17702000.0,,St. Louis
335,4000-04 Flad,4000-04 Flad,St. Louis,MO,2009-06-10,244781.0,,St. Louis
336,Field School,4466 Olive Street,St. Louis,MO,2009-06-12,6107032.0,,St. Louis
337,4454 Oakland Avenue,4454 Oakland Avenue,St Louis,MO,2009-06-22,218727.0,,St. Louis
338,4188 Manchester Avenue,4188 Manchester Avenue,St. Louis,MO,2009-06-22,386795.0,,St. Louis
339,Kuenstler Verein,1824-1826 Chouteau Avenue,St. Louis,MO,2009-06-24,572253.0,,St. Louis
340,Shenandoah - B,3836 Shenandoah Aenue,St. Louis,MO,2009-06-25,175000.0,,St. Louis
341,Shenandoah - A,3836 Shenandoah Avenue,St. Louis,MO,2009-06-25,175000.0,,St. Louis
342,3867 Shaw Boulevard,3867 Shaw Boulevard,St. Louis,MO,2009-06-29,887609.0,,St. Louis
343,3906 Detonty,3906 Detonty,St. Louis,MO,2009-07-02,391936.0,,St. Louis
344,3546 S. Broadway,3546 S. Broadway,St. Louis,MO,2009-07-15,296000.0,,St. Louis
345,3544 S. Broadway,3544 S. Broadway,St. Louis,MO,2009-07-15,296000.0,,St. Louis
346,Oehler Brick Buildings,3542 S. Broadway,St. Louis,MO,2009-07-15,296000.0,,St. Louis
347,5017 Washington Place,5017 Washington Place,St. Louis,MO,2009-07-15,3266850.0,,St. Louis
348,1819 Lawrence Street,1819 Lawrence Street,St. Louis,MO,2009-07-15,261659.0,,St. Louis
349,Forest Park Hall Building,4512-14 Manchester,St. Louis,MO,2009-07-17,2601722.0,,St. Louis
350,Benton Park District,3316 Salena Street,St. Louis,MO,2009-07-17,115219.0,,St. Louis
351,1907 Sidney Street,1907 Sidney Street,St. Louis,MO,2009-07-22,180000.0,,St. Louis
352,The Municpal SErvice Building Complex - The Power House,1106 Clark Street,St. Louis,MO,2009-07-27,6500000.0,,St. Louis
353,1209 Dolman Street,1209 Dolman Street,St. Louis,MO,2009-07-27,609000.0,,St. Louis
354,Monkey Building,1426-1430 Washington Avenue,St. Louis,MO,2009-08-17,2863944.0,,St. Louis
355,4060-64 Detonty Street,4060-64 Detonty Street,St.Louis,MO,2009-08-20,444145.0,,St. Louis
356,4501-03 Manchester Avenue,4501-03 Manchester Avenue,St. Louis,MO,2009-08-31,1368242.0,,St. Louis
357,Residence,3542 Compton Ave.,St. Louis,MO,2009-09-07,61843.0,,St. Louis
358,2758 Armand,2758 Armand,St. Louis,MO,2009-09-08,114108.0,,St. Louis
359,1712 S. 10th Street,1712 S. 10th Street,St. Louis,MO,2009-09-08,125338.0,,St. Louis
360,General Compressed Air House Cleaning Company Building,4436 Olive,St. Louis,MO,2009-09-14,322000.0,,St. Louis
361,South Side National Bank,3606 Gravois Avenue,St. Louis,MO,2009-09-18,3473273.0,,St. Louis
362,7529 Michigan Avenue,7529 Michigan Avenue,St. Louis,MO,2009-09-28,600000.0,,St. Louis
363,3717-21 Westminister Place,3717-21 Westminister Place,St. Louis,MO,2009-10-01,19224440.0,,St. Louis
364,1911 Locust Street,1911 Locust Street,St. Louis,MO,2009-10-05,1500000.0,,St. Louis
365,Parker Place Lofts,1808 Chouteau Avenue,St. Louis,MO,2009-10-30,2359034.0,,St. Louis
366,3423 19th St.,3423 19th St.,St. Louis,MO,2009-10-30,130000.0,,St. Louis
367,3518-20 Iowa,3518-20 Iowa,St. Louis,MO,2009-11-02,140000.0,,St. Louis
368,Bel Air Motel,4630 Lindell,St. Louis,MO,2009-11-02,10800000.0,,St. Louis
369,6062 Cates Avenue,6062 Cates Avenue,St. Louis,MO,2009-11-02,3495000.0,,St. Louis
370,Murphy Dry Goods Company Building,4260 Manchester Avenue,St. Louis,MO,2009-11-16,257000.0,,St. Louis
371,1624-26 Tower Grove Avenue,1624-26 Tower Grove Avenue,St. Louis,MO,2009-11-16,450000.0,,St. Louis
372,The SEcurity Building,319 North Fourth Street,St. Louis,MO,2009-11-16,6932716.0,,St. Louis
373,International Shoe Company Building,1501-1509 Washington Avenue,St. Louis,MO,2009-11-25,3000000.0,,St. Louis
374,6603-05 Michigan,6603-05 Michigan,St. Louis,MO,2009-12-01,318000.0,,St. Louis
375,2421 South 12th Street,2421 South 12th Street,St. Louis,MO,2009-12-03,291765.0,,St. Louis
376,2419 South 12th Street,2419 South 12th Street,St. Louis,MO,2009-12-03,285922.0,,St. Louis
377,Commercial Building,2730 Mcnair,St. Louis,MO,2009-12-15,398000.0,,St. Louis
378,Lindenwood School Apartments,"7018 Mardel & 3815 Mccausland, Units 8,9,10,11,12,13,14,18,20",St. Louis,MO,2009-12-16,2200000.0,,St. Louis
379,Greater Fourteenth Street Mall,2612-24 North 14th Street,St. Louis,MO,2010-01-11,1287320.0,,St. Louis
380,Thomas Furniture,2700-10 North 14th Street,St. Louis,MO,2010-01-11,1056680.0,,St. Louis
381,Parks Drug Company Building,2718-20 North 14th Street,St. Louis,MO,2010-01-11,792440.0,,St. Louis
382,2717 North 14th Street,2717 North 14th Street,St. Louis,MO,2010-01-11,412751.0,,St. Louis
383,Hartman Shoe Co./ One Cent Furniture,2703-07 North 14th Street,St. Louis,MO,2010-01-11,897043.0,,St. Louis
384,Eugene Building,2617-21 N. 14th Street,St. Louis,MO,2010-01-11,1590359.0,,St. Louis
385,Peters Dry Goods & Clothing Co. Building,2600-10 North 14th Street,St. Louis,MO,2010-01-11,3336782.0,,St. Louis
386,Greater Fourteenth Street Mall,2601-03 North 14th Street,St. Louis,MO,2010-01-11,1420447.0,,St. Louis
387,Kassing-Goosen House Furnishing Company,2607-09 North 14th Street,St. Louis,MO,2010-01-11,1365752.0,,St. Louis
388,Greater Fourteenth Street Mall (Historic Later Rubenstein's Dry Goods),2611 North 14th Street,St. Louis,MO,2010-01-11,465893.0,,St. Louis
389,4370 Manchester,4370 Manchester,St. Louis,MO,2010-01-15,220963.0,,St. Louis
390,Carondelet School,8221 Minnesota,St. Louis,MO,2010-01-15,2532727.0,,St. Louis
391,Whittaker & Weber Co.; American Stove & Queensware Company,2605 North 14th Street,St. Louis,MO,2010-01-15,840132.0,,St. Louis
392,Melrose Apartments,"210,214,218 North Sarth, 4065 West Pine",St. Louis,MO,2010-01-19,5700000.0,,St. Louis
393,2312 S. 10th Street,2312 S. 10th Street,St. Louis,MO,2010-02-01,448103.0,,St. Louis
394,Wrought Iron Range Building,1901-37 Washington,St. Louis,MO,2010-02-03,24000000.0,,St. Louis
395,4344 Gibson Avenue,4344 Gibson Avenue,St. Louis,MO,2010-02-16,322327.0,,St. Louis
396,3301 & 3305 Park Avenue,3301 & 3305 Park Avenue,St. Louis,MO,2010-02-26,3317157.0,,St. Louis
397,3500 S. Compton Ave.,3500 S. Compton Ave.,St. Louis,MO,2010-03-02,27731.0,,St. Louis
398,Pedigo Weber Shoe Company Building,3427-3441 Locust Street,St. Louis,MO,2010-03-02,9302000.0,,St. Louis
399,John Milhoff Commercial Building,758 South 4th Street,St. Louis,MO,2010-03-08,933333.0,,St. Louis
400,Michael Pfieffer Barber Shop,319 Gratoit Street,St. Louis,MO,2010-03-08,933333.0,,St. Louis
401,William Hoerr Commercial Building,756 South 4th Street,St. Louis,MO,2010-03-08,933333.0,,St. Louis
402,2430 Hickory Street,2430 Hickory Street,St. Louis,MO,2010-03-16,341400.0,,St. Louis
403,Ramsey Accessories Manufacturing Company,3693 Forest Park,St. Louis,MO,2010-03-17,9000000.0,,St. Louis
404,Riewe Terrace,3555-3559 California,St. Louis,MO,2010-03-25,426649.0,,St. Louis
405,3524 Compton Ave,3524 Compton Ave,St. Louis,MO,2010-04-01,75000.0,,St. Louis
406,Council Plaza- Union Plaza Building,300 S Grand,St. Louis,MO,2010-04-01,35000000.0,,St. Louis
407,Robert E. Lee Hotel,205 N. 18th St.,St. Louis,MO,2010-04-02,16000000.0,,St. Louis
408,Geyer Avenue Condominum Association Phase II,1916-20 Geyer Ave.,St. Louis,MO,2010-04-02,1100000.0,,St. Louis
409,4301 Arco Avenue,4301 Arco Avenue,St. Louis,MO,2010-04-06,714600.0,,St. Louis
410,Central Shoe Building,1635 Washington Avenue,St. Louis,MO,2010-04-06,12890715.0,,St. Louis
411,1214 Mackay,1214 Mackay,St. Louis,MO,2010-04-16,59970.0,,St. Louis
412,3407-09 California,3407-09 California,St. Louis,MO,2010-04-16,800000.0,,St. Louis
413,4322 Gibson Avenue,4322 Gibson Avenue,St. Louis,MO,2010-04-16,286391.0,,St. Louis
414,Goodyear Tire And Rubber Company Building,3010-3012 Locust,St. Louis,MO,2010-04-20,2138000.0,,St. Louis
415,Gillham Motor Corporation Building,3016-3018 Locust Street,St. Louis,MO,2010-04-20,2800000.0,,St. Louis
416,Proper Shoe Building,2710-16 Cherokee,St. Louis,MO,2010-05-12,171290.0,,St. Louis
417,Becker Lehman Sales Company Building,3043 Olive,St. Louis,MO,2010-07-07,287000.0,,St. Louis
418,The Fulton Bag Company Buildings,614-616 South SEventh Street,St. Louis,MO,2010-07-07,4080000.0,,St. Louis
419,Roberts Orpheum Theater (Aka American Theater),412-416 N. 9th Street,St. Louis,MO,2010-07-08,6002070.0,,St. Louis
420,3214 Miami Street,3214 Miami Street,St. Louis,MO,2010-07-08,29758.0,,St. Louis
421,4162-68 Manchester,4162-68 Manchester,St. Louis,MO,2010-07-09,842437.0,,St. Louis
422,2317-2319 Indiana,2317-2319 Indiana,St. Louis,MO,2010-07-09,198215.0,,St. Louis
423,4206 Choteau,4206 Choteau,St. Louis,MO,2010-07-23,175000.0,,St. Louis
424,3147 Locust Street,3147 Locust Street,St. Louis,MO,2010-07-29,1025516.0,,St. Louis
425,Kardell Motor Car Company,3141 Locust Street,St. Louis,MO,2010-07-29,3433252.0,,St. Louis
426,2742-44 Osage,2742-44 Osage,St. Louis,MO,2010-08-17,237167.0,,St. Louis
427,Two Family House,5070 Waterman Boulevard,St. Louis,MO,2010-08-27,2220000.0,,St. Louis
428,710 Ann Ave.,710 Ann Ave.,St. Louis,MO,2010-09-07,116000.0,,St. Louis
429,H. Knight Building,1122 Washington Avenue,St. Louis,MO,2010-09-09,2500000.0,,St. Louis
430,1015 Washington,1015 Washington,St. Louis,MO,2010-09-13,10200000.0,,St. Louis
431,"1007, 1009-1013 Washington Avenue","1007, 1009-1013 Washington Avenue",St. Louis,MO,2010-09-17,10200000.0,,St. Louis
432,Apartment Building,1704 Nicholson Place,St. Louis,MO,2010-09-17,242632.0,,St. Louis
433,Two Family Flat,4541 Oakland,St. Louis,MO,2010-09-17,143907.0,,St. Louis
434,Polar Wave Ice & Fuel Company,2200-28 Gravois Ave,St. Louis,MO,2010-10-18,10800000.0,,St. Louis
435,Seventh District Police Station,2800 S. Grand Avenue,St. Louis,MO,2010-11-04,2700000.0,,St. Louis
436,Taylor Building,1129 St. Charles St.,St. Louis,MO,2010-11-04,1910930.0,,St. Louis
437,Taylor Building,1128 Washington Avenue,St. Louis,MO,2010-11-04,1910930.0,,St. Louis
438,Ford Apartments,1405 Pine Street,St. Louis,MO,2010-11-18,8855303.0,,St. Louis
439,3458 Utah Street,3458 Utah Street,St. Louis,MO,2010-11-19,475380.0,,St. Louis
440,4244 Chouteau Avenue,4244 Chouteau Avenue,St. Louis,MO,2010-11-23,4011581.0,,St. Louis
441,4306 Manchester Avenue,4306 Manchester Avenue,St. Louis,MO,2010-11-26,612137.0,,St. Louis
442,3100 Gravois,3100 Gravois,St. Louis,MO,2010-12-08,1096901.0,,St. Louis
443,3219 S. 7th Street,3219 S. 7th Street,St. Louis,MO,2010-12-08,170400.0,,St. Louis
444,Syndicate Trust Building,915 Olive Street,St. Louis,MO,2010-12-20,51643443.0,,St. Louis
445,1918 Washington Avenue,1918 Washington Avenue,St. Louis,MO,2010-12-21,1801235.0,,St. Louis
446,American Brake Company,1918 N. Broadway,St. Louis,MO,2010-12-21,2520045.0,,St. Louis
447,4510 Manchester Avenue,4510 Manchester Avenue,St. Louis,MO,2011-01-06,879253.0,,St. Louis
448,2807-09 Arsenal,2807-09 Arsenal,St. Louis,MO,2011-01-14,217198.0,,St. Louis
449,2620 Mcnair,2620 Mcnair,St. Louis,MO,2011-01-19,314211.0,,St. Louis
450,1033 Geyer Apartments,1033 Geyer Apartments,St. Louis,MO,2011-01-23,160180.0,,St. Louis
451,15 Lenox Place,15 Lenox Place,St. Louis,MO,2011-02-14,1854207.0,,St. Louis
452,Missouri Electric Light & Power Co.,1906-1932 Locust St.,St. Louis,MO,2011-03-15,6100000.0,,St. Louis
453,4249 Arco Avenue,4249 Arco Avenue,St. Louis,MO,2011-03-28,220000.0,,St. Louis
454,3012 Salena,3012 Salena,St. Louis,MO,2011-03-30,175000.0,,St. Louis
455,7613-15 S. Broadway,7613-15 S. Broadway,St. Louis,MO,2011-03-30,828400.0,,St. Louis
456,7413-15 S. Broadway,7413-15 S. Broadway,St. Louis,MO,2011-03-30,1070000.0,,St. Louis
457,7024 Pennsylvania,7024 Pennsylvania,St. Louis,MO,2011-03-30,1260000.0,,St. Louis
458,227-229 W. Steins,227-229 W. Steins,St. Louis,MO,2011-03-30,1160000.0,,St. Louis
459,1521 Washington,1521 Washington,St. Louis,MO,2011-03-31,1962000.0,,St. Louis
460,The Avenida,1227-1235 Washington Avenue,St. Louis,MO,2011-03-31,19343671.0,,St. Louis
461,2343-49 S. 7th St.,2343-49 S. 7th St.,St. Louis,MO,2011-04-04,507791.0,,St. Louis
462,7401-05 S.Broadway,7401-05 S.Broadway,St. Louis,MO,2011-04-25,1026000.0,,St. Louis
463,1818 Washington,1818 Washington,St. Louis,MO,2011-05-04,2037719.0,,St. Louis
464,6921 Michigan,6921 Michigan,St. Louis,MO,2011-05-19,337000.0,,St. Louis
465,6919-21 Michigan,6919-21 Michigan,St. Louis,MO,2011-05-19,337000.0,,St. Louis
466,Mayfair Hotel,806 St. Charles Street,St. Louis,MO,2011-05-20,11547945.0,,St. Louis
467,1014-34 Oakview Place,1014-34 Oakview Place,St. Louis,MO,2011-05-26,1841190.0,,St. Louis
468,The Terrace Building,325-329-331 North Euclid Avenue,St. Louis,MO,2011-05-26,1050000.0,,St. Louis
469,3951 Shaw Apartment Building,3951 Shaw Apartment Building,St. Louis,MO,2011-06-06,245244.0,,St. Louis
470,3929 Botanical,3929 Botanical,St. Louis,MO,2011-06-06,409010.0,,St. Louis
471,7501 Michigan Avenue- A,7501 Michigan Avenue- A,St. Louis,MO,2011-06-08,1022000.0,,St. Louis
472,7411 S. Broadway,7411 S. Broadway,St. Louis,MO,2011-07-05,737300.0,,St. Louis
473,1408-10 Wright Street,1408-10 Wright Street,St. Louis,MO,2011-07-20,199189.0,,St. Louis
474,Nooter Corporation,1326 South 3rd Street,St. Louis,MO,2011-08-02,3147362.0,,St. Louis
475,4366 Manchester,4366 Manchester,St. Louis,MO,2011-08-16,197902.0,,St. Louis
476,Gill Building,622 624 Olive Street,St. Louis,MO,2011-08-16,525000.0,,St. Louis
477,4551 Oakland Avenue,4551 Oakland Avenue,St. Louis,MO,2011-08-22,232815.0,,St. Louis
478,4549 Oakland Avenue,4549 Oakland Avenue,St. Louis,MO,2011-08-22,232815.0,,St. Louis
479,1413-15 Hebert,1413-15 Hebert,St. Louis,MO,2011-08-22,192746.0,,St. Louis
480,3957 North 20th Street,3957 North 20th Street,St. Louis,MO,2011-09-02,544545.0,,St. Louis
481,3963 North 21st Street,3963 North 21st Street,St. Louis,MO,2011-09-02,420081.0,,St. Louis
482,3942 North 20th Street,3942 North 20th Street,St. Louis,MO,2011-09-02,730772.0,,St. Louis
483,3931 North 21st Street,3931 North 21st Street,St. Louis,MO,2011-09-02,846813.0,,St. Louis
484,3915 North 19th Street,3915 North 19th Street,St. Louis,MO,2011-09-02,600448.0,,St. Louis
485,3613 North 19th Street,3613 North 19th Street,St. Louis,MO,2011-09-02,547103.0,,St. Louis
486,4021 North 22nd Street,4021 North 22nd Street,St. Louis,MO,2011-09-09,542825.0,,St. Louis
487,4009 North 22nd Street,4009 North 22nd Street,St. Louis,MO,2011-09-09,512518.0,,St. Louis
488,4034 North 23rd Street,4034 North 23rd Street,St. Louis,MO,2011-09-09,345753.0,,St. Louis
489,3610 North 25th Street,3610 North 25th Street,St. Louis,MO,2011-09-09,471264.0,,St. Louis
490,4009 North 25th Street,4009 North 25th Street,St. Louis,MO,2011-09-12,357430.0,,St. Louis
491,4008 North 25th Street,4008 North 25th Street,St. Louis,MO,2011-09-12,202939.0,,St. Louis
492,3933 North 25th Street,3933 North 25th Street,St. Louis,MO,2011-09-12,607998.0,,St. Louis
493,3906 North 23rd Street,3906 North 23rd Street,St. Louis,MO,2011-09-12,550940.0,,St. Louis
494,4031 North 22nd Street,4031 North 22nd Street,St. Louis,MO,2011-09-13,516534.0,,St. Louis
495,4013 North 23rd Street,4013 North 23rd Street,St. Louis,MO,2011-09-13,332495.0,,St. Louis
496,Joe Wuschke Cigar Factory No. 37,2203 S. SEventh,St. Louis,MO,2011-09-14,92550.0,,St. Louis
497,West Locust Lofts,3327-3329 & 3331-3339 Locust Street,St. Louis,MO,2011-09-14,3111078.0,,St. Louis
498,Jos Wuesche Cigar Factory No. 37,2201 S. SEventh,St. Louis,MO,2011-09-14,92550.0,,St. Louis
499,West Locust Lofts,3327-3329 & 3331-3339 Locust Street,St. Louis,MO,2011-09-14,3111078.0,,St. Louis
500,1916 Angelica Street,1916 Angelica Street,St. Louis,MO,2011-09-15,392746.0,,St. Louis
501,3606 North 19th Street,3606 North 19th Street,St. Louis,MO,2011-09-15,793154.0,,St. Louis
502,1918 Angelica Street,1918 Angelica Street,St. Louis,MO,2011-09-15,417834.0,,St. Louis
503,3918 North 21st Street,3918 North 21st Street,St. Louis,MO,2011-09-15,792036.0,,St. Louis
504,Rosedale Building,6036 Washington,St. Louis,MO,2011-10-17,556245.0,,St. Louis
505,Ford Motor Company Building,4100 Forest Park Blvd,St. Louis,MO,2011-10-17,21235466.0,,St. Louis
506,Heinzelmann Building,108-110 N. Clay,St. Louis,MO,2011-10-19,522057.0,,St. Louis
507,Curlee Building,1001-07 Washington Avenue,St. Louis,MO,2011-10-19,6229789.0,,St. Louis
508,Lucks-Orwig Building,4652 Maryland Avenue,St. Louis,MO,2011-10-28,3400000.0,,St. Louis
509,Kiel Opera House,1400 Market Street,St. Louis,MO,2011-11-10,78600000.0,,St. Louis
510,4647-51 Dr. Martin Luther King Drive,4647-51 Dr. Martin Luther King Drive,St. Louis,MO,2011-12-13,1709045.0,,St. Louis
511,1832 Dick Gregory Place,1832 Dick Gregory Place,St. Louis,MO,2011-12-13,506616.0,,St. Louis
512,1822 Dick Gregory Place,1822 Dick Gregory Place,St. Louis,MO,2011-12-13,451268.0,,St. Louis
513,1820 Dick Gregory Place,1820 Dick Gregory Place,St. Louis,MO,2011-12-13,502025.0,,St. Louis
514,1704 Dick Gregory Place,1704 Dick Gregory Place,St. Louis,MO,2011-12-13,440944.0,,St. Louis
515,1524 Dick Gregory Place,1524 Dick Gregory Place,St. Louis,MO,2011-12-13,486981.0,,St. Louis
516,4635 Dr. Martin Luther King Drive,4635 Dr. Martin Luther King Drive,St. Louis,MO,2011-12-15,768478.0,,St. Louis
